TIME,POWER,CADENCE
20190104-073501,25,33.3
20190104-073502,25,33.3
20190104-073503,25,33.3
20190104-073504,25,33.3
20190104-073505,25,33.3
20190104-073506,25,33.3
20190104-073507,25,33.3
20190104-073508,25,33.3
20190104-073509,25,33.3
20190104-073510,25,33.3
20190104-073511,40,33.3
20190104-073512,40,33.3
20190104-073514,40,33.3
20190104-073515,40,33.3
20190104-073516,40,33.3
20190104-073517,40,33.3
20190104-073518,40,33.3
20190104-073519,40,33.3
20190104-073520,40,33.3
20190104-073521,40,33.3
20190104-073522,50,33.3
20190104-073523,50,33.3
20190104-073524,50,33.3
20190104-073525,50,33.3
20190104-073526,50,33.3
20190104-073527,50,33.3
20190104-073528,50,33.3
20190104-073529,50,33.3
20190104-073530,50,33.3
20190104-073531,50,33.3
20190104-073532,40,33.3
20190104-073533,40,33.3
20190104-073534,40,33.3
