TIME,POWER,CADENCE
20190106-201757,90,75.0
20190106-201758,90,75.0
20190106-201759,90,75.0
20190106-201800,90,75.0
20190106-201801,90,75.0
20190106-201802,90,75.0
20190106-201803,90,75.0
20190106-201804,90,75.0
20190106-201805,90,75.0
20190106-201806,90,75.0
20190106-201807,90,75.0
20190106-201808,90,75.0
20190106-201809,90,75.0
20190106-201810,90,75.0
20190106-201811,90,75.0
20190106-201812,90,75.0
20190106-201813,90,75.0
20190106-201814,90,75.0
20190106-201815,90,75.0
20190106-201816,90,75.0
20190106-201817,90,75.0
20190106-201818,90,75.0
20190106-201819,90,75.0
20190106-201820,90,75.0
20190106-201821,90,75.0
20190106-201822,90,75.0
20190106-201823,90,75.0
20190106-201824,90,75.0
20190106-201825,90,75.0
20190106-201826,90,75.0
20190106-201827,90,75.0
20190106-201828,90,75.0
20190106-201829,90,75.0
20190106-201830,90,75.0
20190106-201831,90,75.0
20190106-201832,90,75.0
20190106-201833,90,75.0
20190106-201834,90,75.0
20190106-201835,90,75.0
20190106-201836,90,75.0
20190106-201837,90,75.0
20190106-201838,90,75.0
20190106-201839,90,75.0
20190106-201840,90,75.0
20190106-201841,90,75.0
20190106-201842,90,75.0
20190106-201843,90,75.0
20190106-201844,90,75.0
20190106-201845,90,75.0
20190106-201846,90,75.0
20190106-201847,90,75.0
20190106-201848,90,75.0
20190106-201849,90,75.0
20190106-201850,90,75.0
20190106-201851,90,75.0
20190106-201852,90,75.0
20190106-201853,90,75.0
20190106-201854,90,75.0
20190106-201855,90,75.0
20190106-201856,90,75.0
20190106-201857,90,75.0
20190106-201858,90,75.0
20190106-201859,90,75.0
20190106-201900,90,75.0
20190106-201901,90,75.0
20190106-201902,90,75.0
20190106-201903,90,75.0
20190106-201904,90,75.0
20190106-201905,90,75.0
20190106-201906,90,75.0
20190106-201907,90,75.0
20190106-201908,90,75.0
20190106-201909,90,75.0
20190106-201910,90,75.0
20190106-201911,90,75.0
20190106-201912,90,75.0
20190106-201913,90,75.0
20190106-201914,90,75.0
20190106-201915,90,75.0
20190106-201916,90,75.0
20190106-201917,90,75.0
20190106-201918,90,75.0
20190106-201919,90,75.0
20190106-201921,90,75.0
20190106-201922,90,75.0
20190106-201923,90,75.0
20190106-201924,90,75.0
20190106-201925,90,75.0
20190106-201926,90,75.0
20190106-201927,90,75.0
20190106-201928,90,75.0
20190106-201929,90,75.0
20190106-201930,90,75.0
20190106-201931,90,75.0
20190106-201932,90,75.0
20190106-201933,90,75.0
20190106-201934,90,75.0
20190106-201935,90,75.0
20190106-201936,90,75.0
20190106-201937,90,75.0
20190106-201938,90,75.0
20190106-201939,90,75.0
20190106-201940,90,75.0
20190106-201941,90,75.0
20190106-201942,90,75.0
20190106-201943,90,75.0
20190106-201944,90,75.0
20190106-201945,90,75.0
20190106-201946,90,75.0
20190106-201947,90,75.0
20190106-201948,90,75.0
20190106-201949,90,75.0
20190106-201950,90,75.0
20190106-201951,90,75.0
20190106-201952,90,75.0
