TIME,POWER,CADENCE
20190106-202935,90,75.0,65.56768729999183
20190106-202936,90,75.0,65.56768729999183
20190106-202937,90,75.0,65.56768729999183
20190106-202938,90,75.0,65.56768729999183
20190106-202939,90,75.0,65.56768729999183
20190106-202940,90,75.0,65.56768729999183
20190106-202941,90,75.0,65.56768729999183
20190106-202942,90,75.0,65.56768729999183
20190106-202943,90,75.0,65.56768729999183
20190106-202944,90,75.0,65.56768729999183
20190106-202945,90,75.0,65.56768729999183
20190106-202946,90,75.0,65.56768729999183
20190106-202947,90,75.0,65.56768729999183
20190106-202948,90,75.0,65.56768729999183
20190106-202949,90,75.0,65.56768729999183
20190106-202950,90,75.0,65.56768729999183
20190106-202951,90,75.0,65.56768729999183
20190106-202952,90,75.0,65.56768729999183
20190106-202953,90,75.0,65.56768729999183
20190106-202954,90,75.0,65.56768729999183
20190106-202955,90,75.0,65.56768729999183
20190106-202956,90,75.0,65.56768729999183
20190106-202957,90,75.0,65.56768729999183
20190106-202958,90,75.0,65.56768729999183
20190106-202959,90,75.0,65.56768729999183
20190106-203000,90,75.0,65.56768729999183
20190106-203001,90,75.0,65.56768729999183
20190106-203002,90,75.0,65.56768729999183
20190106-203003,90,75.0,65.56768729999183
20190106-203004,90,75.0,65.56768729999183
20190106-203005,90,75.0,65.56768729999183
20190106-203006,90,75.0,65.56768729999183
20190106-203007,90,75.0,65.56768729999183
20190106-203008,90,75.0,65.56768729999183
20190106-203009,90,75.0,65.56768729999183
20190106-203010,90,75.0,65.56768729999183
20190106-203011,90,75.0,65.56768729999183
20190106-203012,90,75.0,65.56768729999183
20190106-203013,90,75.0,65.56768729999183
20190106-203014,90,75.0,65.56768729999183
20190106-203016,90,75.0,65.56768729999183
20190106-203017,90,75.0,65.56768729999183
20190106-203018,90,75.0,65.56768729999183
20190106-203019,90,75.0,65.56768729999183
20190106-203020,90,75.0,65.56768729999183
20190106-203021,90,75.0,65.56768729999183
20190106-203022,90,75.0,65.56768729999183
20190106-203023,90,75.0,65.56768729999183
20190106-203024,90,75.0,65.56768729999183
20190106-203025,90,75.0,65.56768729999183
20190106-203026,90,75.0,65.56768729999183
20190106-203027,90,75.0,65.56768729999183
20190106-203028,90,75.0,65.56768729999183
20190106-203029,90,75.0,65.56768729999183
20190106-203030,90,75.0,65.56768729999183
20190106-203031,90,75.0,65.56768729999183
20190106-203032,90,75.0,65.56768729999183
20190106-203033,90,75.0,65.56768729999183
20190106-203034,90,75.0,65.56768729999183
20190106-203035,90,75.0,65.56768729999183
20190106-203036,90,75.0,65.56768729999183
20190106-203037,90,75.0,65.56768729999183
20190106-203038,90,75.0,65.56768729999183
20190106-203039,90,75.0,65.56768729999183
20190106-203040,90,75.0,65.56768729999183
20190106-203041,90,75.0,65.56768729999183
20190106-203042,90,75.0,65.56768729999183
20190106-203043,90,75.0,65.56768729999183
20190106-203044,90,75.0,65.56768729999183
20190106-203045,90,75.0,65.56768729999183
20190106-203046,90,75.0,65.56768729999183
20190106-203047,90,75.0,65.56768729999183
20190106-203048,90,75.0,65.56768729999183
20190106-203049,90,75.0,65.56768729999183
20190106-203050,90,75.0,65.56768729999183
20190106-203051,90,75.0,65.56768729999183
20190106-203052,90,75.0,65.56768729999183
20190106-203053,90,75.0,65.56768729999183
20190106-203054,90,75.0,65.56768729999183
20190106-203055,90,75.0,65.56768729999183
20190106-203056,90,75.0,65.56768729999183
20190106-203057,90,75.0,65.56768729999183
20190106-203058,90,75.0,65.56768729999183
20190106-203059,90,75.0,65.56768729999183
20190106-203100,90,75.0,65.56768729999183
20190106-203101,90,75.0,65.56768729999183
20190106-203102,90,75.0,65.56768729999183
20190106-203103,90,75.0,65.56768729999183
20190106-203104,90,75.0,65.56768729999183
20190106-203105,90,75.0,65.56768729999183
20190106-203106,90,75.0,65.56768729999183
20190106-203107,90,75.0,65.56768729999183
20190106-203108,90,75.0,65.56768729999183
20190106-203109,90,75.0,65.56768729999183
20190106-203110,90,75.0,65.56768729999183
20190106-203111,90,75.0,65.56768729999183
20190106-203112,90,75.0,65.56768729999183
20190106-203113,90,75.0,65.56768729999183
20190106-203114,90,75.0,65.56768729999183
20190106-203115,90,75.0,65.56768729999183
20190106-203116,90,75.0,65.56768729999183
20190106-203117,90,75.0,65.56768729999183
20190106-203118,90,75.0,65.56768729999183
20190106-203119,90,75.0,65.56768729999183
20190106-203120,90,75.0,65.56768729999183
20190106-203121,90,75.0,65.56768729999183
20190106-203122,90,75.0,65.56768729999183
20190106-203123,90,75.0,65.56768729999183
20190106-203124,90,75.0,65.56768729999183
20190106-203125,90,75.0,65.56768729999183
20190106-203126,90,75.0,65.56768729999183
20190106-203127,90,75.0,65.56768729999183
20190106-203128,90,75.0,65.56768729999183
20190106-203129,90,75.0,65.56768729999183
20190106-203130,90,75.0,65.56768729999183
20190106-203131,90,75.0,65.56768729999183
20190106-203132,90,75.0,65.56768729999183
20190106-203133,90,75.0,65.56768729999183
20190106-203134,90,75.0,65.56768729999183
20190106-203135,90,75.0,65.56768729999183
20190106-203136,90,75.0,65.56768729999183
